City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,plouzane,48.3833,-4.6167,18.03,85,0,2.06,FR,1687905150
83,iskateley,67.6803,53.1512,5.79,89,100,3.48,RU,1687905150
84,bac lieu,9.285,105.7244,26.95,82,92,3.8,VN,1687905150
85,camabatela,-8.1881,15.375,14.82,77,6,0.95,AO,1687905156
86,carutapera,-1.195,-46.02,24.11,93,76,2.73,BR,1687905156
87,praia,14.9215,-23.5087,25.3,73,20,6.17,CV,1687905156
88,tromso,69.6496,18.957,11.88,82,0,4.63,NO,1687905156
89,buritis,-15.6178,-46.4233,22.85,43,32,1.22,BR,1687905156
90,jindabyne,-36.4167,148.6333,4.71,93,100,0.62,AU,1687905157
91,seymour,38.9592,-85.8903,26.53,68,75,1.34,US,1687905124
92,tame,6.461,-71.73,23.75,91,100,0.05,CO,1687905157
93,praia a mare,39.9009,15.7793,22.24,78,0,1.41,IT,1687905157
94,quelimane,-17.8786,36.8883,17.97,88,20,1.03,MZ,1687905157
95,ryotsu-minato,38.0833,138.4333,23.39,92,93,5.72,JP,1687905157
96,amahai,-3.3333,128.9167,30.05,86,75,0.96,ID,1687905157
97,victorica,-36.2151,-65.4359,10.84,37,0,4.07,AR,1687905158
98,nova vicosa,-17.8919,-39.3719,22.27,81,4,2.91,BR,1687905158
99,longyearbyen,78.2186,15.6401,7.91,87,75,1.54,SJ,1687905158
100,bethel,41.3712,-73.414,25.2,78,75,4.63,US,1687905158
101,bubaque,11.2833,-15.8333,26.87,76,100,4.32,GW,1687905158
102,manikpur,25.0667,81.1167,28.92,70,51,2.96,IN,1687905158
103,yulinshi,38.2906,109.7494,20.98,84,100,0.63,CN,1687905158
104,papatowai,-46.5619,169.4708,10.58,97,100,3.37,NZ,1687905159
105,myitkyina,25.3833,97.4,23.92,98,70,0.55,MM,1687905159
106,yelizovo,53.1873,158.3805,17.08,82,75,2.0,RU,1687905159
107,selibaby,15.159,-12.1829,35.37,22,88,2.55,MR,1687905159
108,taltal,-25.4,-70.4833,17.54,75,25,1.26,CL,1687905159
109,bengkulu,-3.8004,102.2655,23.72,90,98,2.29,ID,1687905159
110,nsanje,-16.92,35.262,15.94,76,6,0.79,MW,1687905159
111,santa ana de yacuma,-13.75,-65.4333,29.97,66,75,0.0,BO,1687905159
112,waingapu,-9.6567,120.2641,25.03,82,24,1.43,ID,1687905160
113,college,64.8569,-147.8028,20.67,48,75,2.57,US,1687905160
114,piacabucu,-10.4056,-36.4344,23.23,89,76,3.85,BR,1687905160
115,afaahiti,-17.75,-149.2833,28.93,75,14,10.84,PF,1687905160
116,blackmans bay,-43.0167,147.3167,6.07,82,59,4.25,AU,1687905160
117,akhaltsikhe,41.639,42.9826,13.93,92,78,0.19,GE,1687905160
118,ribeira grande,38.5167,-28.7,20.99,85,16,7.15,PT,1687905160
119,holualoa,19.6228,-155.9522,27.1,75,40,4.63,US,1687905160
120,sao lourenco do sul,-31.3653,-51.9783,16.65,96,100,2.33,BR,1687904951
121,monrovia,6.3005,-10.7969,23.87,75,94,5.53,LR,1687905161
122,pacific grove,36.6177,-121.9166,21.01,80,100,4.63,US,1687905107
123,katsuura,35.1333,140.3,24.02,95,100,5.44,JP,1687905161
124,severo-yeniseyskiy,60.3725,93.0408,10.36,67,72,1.34,RU,1687905161
125,i-n-salah,27.1935,2.4607,36.03,11,65,6.31,DZ,1687905161
126,kodiak,57.79,-152.4072,8.73,93,100,6.17,US,1687905161
127,kundiawa,-6.0167,144.9667,20.76,72,29,1.04,PG,1687905161
128,nikel,69.4128,30.222,8.1,80,85,1.07,RU,1687905161
129,dudinka,69.4058,86.1778,10.9,61,47,2.17,RU,1687905161
130,plottier,-38.9667,-68.2333,10.95,54,0,1.54,AR,1687905162
131,queenstown,-31.8976,26.8753,9.62,92,100,1.01,ZA,1687905162
132,hawaiian paradise park,19.5933,-154.9731,25.41,86,100,3.09,US,1687905162
133,zinjibar,13.1287,45.3807,30.74,67,63,3.53,YE,1687905162
134,bardai,11.65,7.2333,25.27,73,97,4.46,NG,1687905162
135,sal rei,16.1833,-22.9167,23.39,83,10,4.84,CV,1687905162
136,yuzhno-kurilsk,44.0306,145.8556,13.37,98,100,5.41,RU,1687905162
137,vihti,60.417,24.3197,18.06,78,19,1.45,FI,1687905163
138,porto novo,6.4965,2.6036,25.9,85,100,4.42,BJ,1687905163
139,uturoa,-16.7333,-151.4333,26.81,71,0,10.64,PF,1687905163
140,kattivakkam,13.2167,80.3167,29.48,79,100,6.37,IN,1687905163
141,hermanus,-34.4187,19.2345,14.33,87,100,2.31,ZA,1687905163
142,ta`u,-14.2336,-169.5144,27.69,72,94,6.42,AS,1687905163
143,iwanai,42.9744,140.5089,20.73,96,100,2.41,JP,1687905164
144,ludvika,60.1496,15.1878,15.89,88,32,1.12,SE,1687905164
